"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"310M600US10100","Aberdeen, SD Micro Area","64194","null","2992","null",
"310M600US10140","Aberdeen, WA Micro Area","53615","null","1957","null",
"310M600US10180","Abilene, TX Metro Area","57356","null","2033","null",
"310M600US10220","Ada, OK Micro Area","55862","null","4035","null",
"310M600US10300","Adrian, MI Micro Area","60656","null","1641","null",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","17785","null","590","null",
"310M600US10420","Akron, OH Metro Area","63331","null","711","null",
"310M600US10460","Alamogordo, NM Micro Area","46949","null","2707","null",
"310M600US10500","Albany, GA Metro Area","49500","null","1671","null",
"310M600US10540","Albany-Lebanon, OR Metro Area","63313","null","2179","null",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","77758","null","1003","null",
"310M600US10620","Albemarle, NC Micro Area","56462","null","2585","null",
"310M600US10660","Albert Lea, MN Micro Area","59862","null","2833","null",
"310M600US10700","Albertville, AL Micro Area","52938","null","1990","null",
"310M600US10740","Albuquerque, NM Metro Area","58335","null","954","null",
"310M600US10760","Alexander City, AL Micro Area","50417","null","2643","null",
"310M600US10780","Alexandria, LA Metro Area","50005","null","2097","null",
"310M600US10820","Alexandria, MN Micro Area","69069","null","3709","null",
"310M600US10860","Alice, TX Micro Area","46641","null","5850","null",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","73091","null","1115","null",
"310M600US10940","Alma, MI Micro Area","53347","null","2210","null",
"310M600US10980","Alpena, MI Micro Area","44864","null","1962","null",
"310M600US11020","Altoona, PA Metro Area","54368","null","1585","null",
"310M600US11060","Altus, OK Micro Area","55551","null","3722","null",
"310M600US11100","Amarillo, TX Metro Area","58878","null","1392","null",
"310M600US11140","Americus, GA Micro Area","37669","null","2415","null",
"310M600US11180","Ames, IA Metro Area","63814","null","1594","null",
"310M600US11220","Amsterdam, NY Micro Area","53533","null","2026","null",
"310M600US11260","Anchorage, AK Metro Area","86252","null","1533","null",
"310M600US11380","Andrews, TX Micro Area","80518","null","12627","null",
"310M600US11420","Angola, IN Micro Area","61698","null","3370","null",
"310M600US11460","Ann Arbor, MI Metro Area","79198","null","1873","null",
"310M600US11500","Anniston-Oxford, AL Metro Area","50977","null","1889","null",
"310M600US11540","Appleton, WI Metro Area","74044","null","1442","null",
"310M600US11580","Arcadia, FL Micro Area","39945","null","2646","null",
"310M600US11620","Ardmore, OK Micro Area","53227","null","1999","null",
"310M600US11640","Arecibo, PR Metro Area","19752","null","710","null",
"310M600US11660","Arkadelphia, AR Micro Area","45351","null","4449","null",
"310M600US11700","Asheville, NC Metro Area","58039","null","1408","null",
"310M600US11740","Ashland, OH Micro Area","58168","null","3129","null",
"310M600US11780","Ashtabula, OH Micro Area","49680","null","2517","null",
"310M600US11820","Astoria, OR Micro Area","61846","null","2651","null",
"310M600US11860","Atchison, KS Micro Area","52243","null","4758","null",
"310M600US11900","Athens, OH Micro Area","47061","null","3372","null",
"310M600US11940","Athens, TN Micro Area","51253","null","3252","null",
"310M600US11980","Athens, TX Micro Area","51963","null","2229","null",
"310M600US12020","Athens-Clarke County, GA Metro Area","52958","null","1720","null",
"310M600US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","75267","null","540","null",
"310M600US12100","Atlantic City-Hammonton, NJ Metro Area","66473","null","1759","null",
"310M600US12120","Atmore, AL Micro Area","38464","null","2175","null",
"310M600US12140","Auburn, IN Micro Area","60757","null","3220","null",
"310M600US12180","Auburn, NY Micro Area","59602","null","3084","null",
"310M600US12220","Auburn-Opelika, AL Metro Area","57191","null","3176","null",
"310M600US12260","Augusta-Richmond County, GA-SC Metro Area","58093","null","1236","null",
"310M600US12300","Augusta-Waterville, ME Micro Area","58097","null","2254","null",
"310M600US12380","Austin, MN Micro Area","60386","null","2397","null",
"310M600US12420","Austin-Round Rock-Georgetown, TX Metro Area","85398","null","783","null",
"310M600US12460","Bainbridge, GA Micro Area","45134","null","3898","null",
"310M600US12540","Bakersfield, CA Metro Area","58824","null","1190","null",
"310M600US12580","Baltimore-Columbia-Towson, MD Metro Area","87513","null","741","null",
"310M600US12620","Bangor, ME Metro Area","55125","null","1632","null",
"310M600US12660","Baraboo, WI Micro Area","67702","null","1885","null",
"310M600US12680","Bardstown, KY Micro Area","64354","null","4081","null",
"310M600US12700","Barnstable Town, MA Metro Area","82619","null","2539","null",
"310M600US12740","Barre, VT Micro Area","70128","null","3014","null",
"310M600US12780","Bartlesville, OK Micro Area","55216","null","2484","null",
"310M600US12860","Batavia, NY Micro Area","63734","null","3072","null",
"310M600US12900","Batesville, AR Micro Area","44655","null","2500","null",
"310M600US12940","Baton Rouge, LA Metro Area","63270","null","1318","null",
"310M600US12980","Battle Creek, MI Metro Area","53286","null","1501","null",
"310M600US13020","Bay City, MI Metro Area","52510","null","2069","null",
"310M600US13060","Bay City, TX Micro Area","48566","null","5809","null",
"310M600US13100","Beatrice, NE Micro Area","55000","null","2800","null",
"310M600US13140","Beaumont-Port Arthur, TX Metro Area","57899","null","1289","null",
"310M600US13180","Beaver Dam, WI Micro Area","66403","null","1571","null",
"310M600US13220","Beckley, WV Metro Area","44466","null","2732","null",
"310M600US13260","Bedford, IN Micro Area","60041","null","3823","null",
"310M600US13300","Beeville, TX Micro Area","48822","null","4362","null",
"310M600US13340","Bellefontaine, OH Micro Area","64196","null","3623","null",
"310M600US13380","Bellingham, WA Metro Area","70011","null","2188","null",
"310M600US13420","Bemidji, MN Micro Area","55910","null","2933","null",
"310M600US13460","Bend, OR Metro Area","74082","null","1934","null",
"310M600US13500","Bennettsville, SC Micro Area","32136","null","2692","null",
"310M600US13540","Bennington, VT Micro Area","63448","null","3413","null",
"310M600US13620","Berlin, NH Micro Area","52054","null","2314","null",
"310M600US13660","Big Rapids, MI Micro Area","48440","null","2258","null",
"310M600US13700","Big Spring, TX Micro Area","60260","null","3485","null",
"310M600US13720","Big Stone Gap, VA Micro Area","44131","null","4541","null",
"310M600US13740","Billings, MT Metro Area","65788","null","1717","null",
"310M600US13780","Binghamton, NY Metro Area","56621","null","1571","null",
"310M600US13820","Birmingham-Hoover, AL Metro Area","62873","null","807","null",
"310M600US13900","Bismarck, ND Metro Area","75715","null","2564","null",
"310M600US13940","Blackfoot, ID Micro Area","63106","null","3538","null",
"310M600US13980","Blacksburg-Christiansburg, VA Metro Area","57381","null","1828","null",
"310M600US14010","Bloomington, IL Metro Area","70339","null","2143","null",
"310M600US14020","Bloomington, IN Metro Area","54060","null","1809","null",
"310M600US14100","Bloomsburg-Berwick, PA Metro Area","57015","null","1960","null",
"310M600US14140","Bluefield, WV-VA Micro Area","43842","null","1942","null",
"310M600US14160","Bluffton, IN Micro Area","62802","null","3825","null",
"310M600US14180","Blytheville, AR Micro Area","45740","null","2670","null",
"310M600US14220","Bogalusa, LA Micro Area","39168","null","2966","null",
"310M600US14260","Boise City, ID Metro Area","69801","null","1233","null",
"310M600US14300","Bonham, TX Micro Area","59686","null","3836","null",
"310M600US14380","Boone, NC Micro Area","48786","null","3859","null",
"310M600US14420","Borger, TX Micro Area","57288","null","3695","null",
"310M600US14460","Boston-Cambridge-Newton, MA-NH Metro Area","99039","null","596","null",
"310M600US14500","Boulder, CO Metro Area","92466","null","2254","null",
"310M600US14540","Bowling Green, KY Metro Area","54850","null","1710","null",
"310M600US14580","Bozeman, MT Micro Area","76208","null","2868","null",
"310M600US14620","Bradford, PA Micro Area","52350","null","2450","null",
"310M600US14660","Brainerd, MN Micro Area","59647","null","1399","null",
"310M600US14700","Branson, MO Micro Area","51031","null","2955","null",
"310M600US14720","Breckenridge, CO Micro Area","93505","null","6657","null",
"310M600US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","84600","null","2221","null",
"310M600US14780","Brenham, TX Micro Area","65913","null","6586","null",
"310M600US14820","Brevard, NC Micro Area","57830","null","5241","null",
"310M600US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","101194","null","1352","null",
"310M600US15020","Brookhaven, MS Micro Area","43926","null","2397","null",
"310M600US15060","Brookings, OR Micro Area","57553","null","3647","null",
"310M600US15100","Brookings, SD Micro Area","59178","null","2665","null",
"310M600US15140","Brownsville, TN Micro Area","39952","null","5016","null",
"310M600US15180","Brownsville-Harlingen, TX Metro Area","43057","null","1642","null",
"310M600US15220","Brownwood, TX Micro Area","49232","null","3849","null",
"310M600US15260","Brunswick, GA Metro Area","55778","null","3316","null",
"310M600US15340","Bucyrus-Galion, OH Micro Area","48449","null","2276","null",
"310M600US15380","Buffalo-Cheektowaga, NY Metro Area","62282","null","736","null",
"310M600US15420","Burley, ID Micro Area","56688","null","2402","null",
"310M600US15460","Burlington, IA-IL Micro Area","55033","null","2369","null",
"310M600US15500","Burlington, NC Metro Area","55078","null","1796","null",
"310M600US15540","Burlington-South Burlington, VT Metro Area","79246","null","2168","null",
"310M600US15580","Butte-Silver Bow, MT Micro Area","50331","null","3538","null",
"310M600US15620","Cadillac, MI Micro Area","53103","null","2312","null",
"310M600US15660","Calhoun, GA Micro Area","50520","null","2054","null",
"310M600US15680","California-Lexington Park, MD Metro Area","102859","null","4430","null",
"310M600US15700","Cambridge, MD Micro Area","55652","null","3923","null",
"310M600US15740","Cambridge, OH Micro Area","48434","null","3027","null",
"310M600US15780","Camden, AR Micro Area","46040","null","6298","null",
"310M600US15820","Campbellsville, KY Micro Area","49467","null","2716","null",
"310M600US15860","Cañon City, CO Micro Area","53411","null","2748","null",
"310M600US15940","Canton-Massillon, OH Metro Area","58001","null","941","null",
"310M600US15980","Cape Coral-Fort Myers, FL Metro Area","63235","null","827","null",
"310M600US16020","Cape Girardeau, MO-IL Metro Area","57051","null","3487","null",
"310M600US16060","Carbondale-Marion, IL Metro Area","49067","null","1631","null",
"310M600US16100","Carlsbad-Artesia, NM Micro Area","67759","null","4458","null",
"310M600US16140","Carroll, IA Micro Area","61157","null","2852","null",
"310M600US16180","Carson City, NV Metro Area","62217","null","2154","null",
"310M600US16220","Casper, WY Metro Area","64100","null","2505","null",
"310M600US16260","Cedar City, UT Micro Area","56308","null","3573","null",
"310M600US16300","Cedar Rapids, IA Metro Area","70210","null","1049","null",
"310M600US16340","Cedartown, GA Micro Area","48958","null","3083","null",
"310M600US16380","Celina, OH Micro Area","68692","null","3029","null",
"310M600US16420","Central City, KY Micro Area","46124","null","3972","null",
"310M600US16460","Centralia, IL Micro Area","53209","null","2079","null",
"310M600US16500","Centralia, WA Micro Area","60581","null","2289","null",
"310M600US16540","Chambersburg-Waynesboro, PA Metro Area","66329","null","1613","null",
"310M600US16580","Champaign-Urbana, IL Metro Area","58102","null","1878","null",
"310M600US16620","Charleston, WV Metro Area","49832","null","1357","null",
"310M600US16660","Charleston-Mattoon, IL Micro Area","51419","null","1973","null",
"310M600US16700","Charleston-North Charleston, SC Metro Area","70275","null","1120","null",
"310M600US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","69559","null","587","null",
"310M600US16820","Charlottesville, VA Metro Area","79660","null","2262","null",
"310M600US16860","Chattanooga, TN-GA Metro Area","58277","null","1241","null",
"310M600US16940","Cheyenne, WY Metro Area","71550","null","2501","null",
"310M600US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","78790","null","424","null",
"310M600US17020","Chico, CA Metro Area","59863","null","1989","null",
"310M600US17060","Chillicothe, OH Micro Area","54004","null","2587","null",
"310M600US17140","Cincinnati, OH-KY-IN Metro Area","70308","null","700","null",
"310M600US17220","Clarksburg, WV Micro Area","54245","null","2014","null",
"310M600US17260","Clarksdale, MS Micro Area","31312","null","3899","null",
"310M600US17300","Clarksville, TN-KY Metro Area","57963","null","1415","null",
"310M600US17340","Clearlake, CA Micro Area","53399","null","2483","null",
"310M600US17380","Cleveland, MS Micro Area","33729","null","2703","null",
"310M600US17420","Cleveland, TN Metro Area","54845","null","2223","null",
"310M600US17460","Cleveland-Elyria, OH Metro Area","61320","null","475","null",
"310M600US17500","Clewiston, FL Micro Area","38843","null","3523","null",
"310M600US17540","Clinton, IA Micro Area","56345","null","2149","null",
"310M600US17580","Clovis, NM Micro Area","51199","null","3386","null",
"310M600US17620","Coamo, PR Micro Area","19267","null","2335","null",
"310M600US17640","Coco, PR Micro Area","18563","null","1777","null",
"310M600US17660","Coeur d'Alene, ID Metro Area","64936","null","2334","null",
"310M600US17700","Coffeyville, KS Micro Area","47697","null","4342","null",
"310M600US17740","Coldwater, MI Micro Area","56077","null","1791","null",
"310M600US17780","College Station-Bryan, TX Metro Area","53541","null","1175","null",
"310M600US17820","Colorado Springs, CO Metro Area","75641","null","835","null",
"310M600US17860","Columbia, MO Metro Area","61901","null","1753","null",
"310M600US17900","Columbia, SC Metro Area","58992","null","1106","null",
"310M600US17980","Columbus, GA-AL Metro Area","51694","null","1447","null",
"310M600US18020","Columbus, IN Metro Area","71183","null","3352","null",
"310M600US18060","Columbus, MS Micro Area","49660","null","3000","null",
"310M600US18100","Columbus, NE Micro Area","64105","null","2701","null",
"310M600US18140","Columbus, OH Metro Area","71020","null","744","null",
"310M600US18180","Concord, NH Micro Area","82457","null","1860","null",
"310M600US18220","Connersville, IN Micro Area","48101","null","3580","null",
"310M600US18260","Cookeville, TN Micro Area","46922","null","1703","null",
"310M600US18300","Coos Bay, OR Micro Area","52548","null","3145","null",
"310M600US18380","Cordele, GA Micro Area","41605","null","5317","null",
"310M600US18420","Corinth, MS Micro Area","44068","null","2636","null",
"310M600US18460","Cornelia, GA Micro Area","56680","null","5574","null",
"310M600US18500","Corning, NY Micro Area","58652","null","1727","null",
"310M600US18580","Corpus Christi, TX Metro Area","59483","null","1439","null",
"310M600US18620","Corsicana, TX Micro Area","50466","null","3828","null",
"310M600US18660","Cortland, NY Micro Area","62163","null","3876","null",
"310M600US18700","Corvallis, OR Metro Area","68732","null","2689","null",
"310M600US18740","Coshocton, OH Micro Area","49297","null","3934","null",
"310M600US18780","Craig, CO Micro Area","58583","null","4509","null",
"310M600US18820","Crawfordsville, IN Micro Area","58311","null","4233","null",
"310M600US18860","Crescent City, CA Micro Area","53280","null","5046","null",
"310M600US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","67623","null","2091","null",
"310M600US18900","Crossville, TN Micro Area","52630","null","2557","null",
"310M600US18980","Cullman, AL Micro Area","52690","null","2074","null",
"310M600US19000","Cullowhee, NC Micro Area","48133","null","2227","null",
"310M600US19060","Cumberland, MD-WV Metro Area","52738","null","1923","null",
"310M600US19100","Dallas-Fort Worth-Arlington, TX Metro Area","76916","null","464","null",
"310M600US19140","Dalton, GA Metro Area","52898","null","1780","null",
"310M600US19180","Danville, IL Metro Area","49063","null","2268","null",
"310M600US19220","Danville, KY Micro Area","50520","null","2676","null",
"310M600US19260","Danville, VA Micro Area","43931","null","1678","null",
"310M600US19300","Daphne-Fairhope-Foley, AL Metro Area","64346","null","2377","null",
"310M600US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","63282","null","1022","null",
"310M600US19420","Dayton, TN Micro Area","48872","null","2728","null",
"310M600US19430","Dayton-Kettering, OH Metro Area","61763","null","1009","null",
"310M600US19460","Decatur, AL Metro Area","55232","null","1806","null",
"310M600US19500","Decatur, IL Metro Area","55954","null","2566","null",
"310M600US19540","Decatur, IN Micro Area","56037","null","2984","null",
"310M600US19580","Defiance, OH Micro Area","65779","null","2393","null",
"310M600US19620","Del Rio, TX Micro Area","51949","null","4270","null",
"310M600US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","57791","null","960","null",
"310M600US19700","Deming, NM Micro Area","33914","null","3606","null",
"310M600US19740","Denver-Aurora-Lakewood, CO Metro Area","88512","null","643","null",
"310M600US19760","DeRidder, LA Micro Area","57130","null","4205","null",
"310M600US19780","Des Moines-West Des Moines, IA Metro Area","75134","null","1046","null",
"310M600US19820","Detroit-Warren-Dearborn, MI Metro Area","66878","null","416","null",
"310M600US19860","Dickinson, ND Micro Area","70391","null","3061","null",
"310M600US19940","Dixon, IL Micro Area","62250","null","2685","null",
"310M600US19980","Dodge City, KS Micro Area","59578","null","7502","null",
"310M600US20020","Dothan, AL Metro Area","49336","null","1324","null",
"310M600US20060","Douglas, GA Micro Area","43614","null","1983","null",
"310M600US20100","Dover, DE Metro Area","63715","null","1759","null",
"310M600US20140","Dublin, GA Micro Area","42382","null","1964","null",
"310M600US20180","DuBois, PA Micro Area","52826","null","1729","null",
"310M600US20220","Dubuque, IA Metro Area","68198","null","2351","null",
"310M600US20260","Duluth, MN-WI Metro Area","62184","null","1146","null",
"310M600US20300","Dumas, TX Micro Area","55543","null","3786","null",
"310M600US20340","Duncan, OK Micro Area","53470","null","2321","null",
"310M600US20420","Durango, CO Micro Area","75089","null","3486","null",
"310M600US20460","Durant, OK Micro Area","49225","null","3493","null",
"310M600US20500","Durham-Chapel Hill, NC Metro Area","68913","null","1650","null",
"310M600US20540","Dyersburg, TN Micro Area","50245","null","4301","null",
"310M600US20580","Eagle Pass, TX Micro Area","44502","null","6144","null",
"310M600US20660","Easton, MD Micro Area","79349","null","4240","null",
"310M600US20700","East Stroudsburg, PA Metro Area","72679","null","2655","null",
"310M600US20740","Eau Claire, WI Metro Area","64112","null","1221","null",
"310M600US20780","Edwards, CO Micro Area","91338","null","4058","null",
"310M600US20820","Effingham, IL Micro Area","65590","null","2935","null",
"310M600US20900","El Campo, TX Micro Area","53963","null","3180","null",
"310M600US20940","El Centro, CA Metro Area","49078","null","2530","null",
"310M600US20980","El Dorado, AR Micro Area","46444","null","3923","null",
"310M600US21020","Elizabeth City, NC Micro Area","54867","null","2957","null",
"310M600US21060","Elizabethtown-Fort Knox, KY Metro Area","59781","null","2366","null",
"310M600US21120","Elk City, OK Micro Area","50365","null","7231","null",
"310M600US21140","Elkhart-Goshen, IN Metro Area","61182","null","1636","null",
"310M600US21180","Elkins, WV Micro Area","47343","null","4669","null",
"310M600US21220","Elko, NV Micro Area","82199","null","4590","null",
"310M600US21260","Ellensburg, WA Micro Area","64134","null","3881","null",
"310M600US21300","Elmira, NY Metro Area","58175","null","2144","null",
"310M600US21340","El Paso, TX Metro Area","50849","null","911","null",
"310M600US21380","Emporia, KS Micro Area","52274","null","2262","null",
"310M600US21420","Enid, OK Metro Area","60732","null","2693","null",
"310M600US21460","Enterprise, AL Micro Area","59034","null","3382","null",
"310M600US21500","Erie, PA Metro Area","55949","null","1261","null",
"310M600US21540","Escanaba, MI Micro Area","51117","null","3339","null",
"310M600US21580","Española, NM Micro Area","46994","null","3543","null",
"310M600US21640","Eufaula, AL-GA Micro Area","35907","null","2876","null",
"310M600US21660","Eugene-Springfield, OR Metro Area","59016","null","1426","null",
"310M600US21700","Eureka-Arcata, CA Micro Area","53350","null","2424","null",
"310M600US21740","Evanston, WY Micro Area","75106","null","5621","null",
"310M600US21780","Evansville, IN-KY Metro Area","59134","null","1205","null",
"310M600US21820","Fairbanks, AK Metro Area","78321","null","3174","null",
"310M600US21840","Fairfield, IA Micro Area","47950","null","4468","null",
"310M600US21860","Fairmont, MN Micro Area","57002","null","6884","null",
"310M600US21900","Fairmont, WV Micro Area","55094","null","2250","null",
"310M600US21980","Fallon, NV Micro Area","61776","null","5837","null",
"310M600US22020","Fargo, ND-MN Metro Area","68560","null","1529","null",
"310M600US22060","Faribault-Northfield, MN Micro Area","71384","null","2504","null",
"310M600US22100","Farmington, MO Micro Area","50015","null","2863","null",
"310M600US22140","Farmington, NM Metro Area","47485","null","2423","null",
"310M600US22180","Fayetteville, NC Metro Area","52835","null","849","null",
"310M600US22220","Fayetteville-Springdale-Rogers, AR Metro Area","66565","null","1273","null",
"310M600US22260","Fergus Falls, MN Micro Area","63587","null","1670","null",
"310M600US22280","Fernley, NV Micro Area","63952","null","2668","null",
"310M600US22300","Findlay, OH Micro Area","60828","null","2404","null",
"310M600US22340","Fitzgerald, GA Micro Area","34455","null","4971","null",
"310M600US22380","Flagstaff, AZ Metro Area","61888","null","1657","null",
"310M600US22420","Flint, MI Metro Area","54052","null","1011","null",
"310M600US22500","Florence, SC Metro Area","48328","null","1771","null",
"310M600US22520","Florence-Muscle Shoals, AL Metro Area","50942","null","2128","null",
"310M600US22540","Fond du Lac, WI Metro Area","66390","null","2064","null",
"310M600US22580","Forest City, NC Micro Area","45500","null","2080","null",
"310M600US22620","Forrest City, AR Micro Area","34981","null","3619","null",
"310M600US22660","Fort Collins, CO Metro Area","80664","null","1574","null",
"310M600US22700","Fort Dodge, IA Micro Area","56934","null","2977","null",
"310M600US22780","Fort Leonard Wood, MO Micro Area","59252","null","3774","null",
"310M600US22800","Fort Madison-Keokuk, IA-IL-MO Micro Area","54594","null","1815","null",
"310M600US22820","Fort Morgan, CO Micro Area","62914","null","4401","null",
"310M600US22840","Fort Payne, AL Micro Area","44037","null","2276","null",
"310M600US22860","Fort Polk South, LA Micro Area","53215","null","1909","null",
"310M600US22900","Fort Smith, AR-OK Metro Area","48903","null","1766","null",
"310M600US23060","Fort Wayne, IN Metro Area","62031","null","1262","null",
